Date,Open,High,Low,Close,Volume
2024-09-23,116.542,116.982,114.852,116.252,206242699
2024-09-24,116.507,121.792,115.372,120.862,354991230
2024-09-25,122.012,124.931,121.602,123.501,284712564
2024-09-26,126.791,127.656,121.792,124.031,302603717
2024-09-27,123.961,124.021,119.252,121.392,271027848
2024-09-30,118.302,121.492,118.142,121.432,227069295
2024-10-01,121.757,122.427,115.782,116.992,302115300
2024-10-02,116.432,119.372,115.132,118.842,221861173
2024-10-03,120.912,124.351,120.332,122.842,277137067
2024-10-04,124.931,125.031,121.822,124.911,244482396
2024-10-07,124.981,130.631,124.941,127.711,346274090
2024-10-08,130.251,133.471,129.411,132.881,285742172
2024-10-09,134.101,134.511,131.371,132.641,246208575
2024-10-10,131.901,134.991,130.991,134.801,242328033
2024-10-11,134.001,135.771,133.651,134.791,170221202
2024-10-14,136.461,139.59,136.291,138.06,232363677
2024-10-15,137.861,138.56,128.731,131.591,377857054
2024-10-16,133.971,136.611,131.571,135.711,264897971
2024-10-17,139.33,140.88,136.861,136.921,306457035
2024-10-18,138.655,138.89,137.271,137.99,176102317
2024-10-21,138.12,143.7,137.99,143.7,264572742
2024-10-22,142.9,144.41,141.77,143.58,226327182
2024-10-23,142.02,142.42,137.451,139.55,285949739
2024-10-24,140.81,141.34,138.45,140.4,172366763
2024-10-25,140.92,144.12,140.79,141.53,205136242
2024-10-28,142.99,143.13,140.04,140.51,173598705
2024-10-29,140.275,142.25,138.89,141.24,157604492
2024-10-30,139.53,140.32,136.801,139.325,179430444
2024-10-31,137.591,137.601,132.101,132.751,270058247
2024-11-01,134.691,137.301,134.561,135.361,207142109
2024-11-04,137.201,138.95,135.561,136.041,187541094
2024-11-05,137.441,140.36,137.321,139.9,160548434
2024-11-06,142.95,146.48,141.95,145.6,242060622
2024-11-07,146.38,148.92,146.16,148.87,207337588
2024-11-08,148.76,149.76,146.25,147.62,175677934
2024-11-11,148.67,148.84,143.56,145.25,182338182
2024-11-12,146.77,149.64,146.0,148.28,198648424
2024-11-13,149.06,149.32,145.89,146.26,191916489
2024-11-14,147.63,148.99,145.54,146.75,194476700
2024-11-15,144.86,145.23,140.07,141.97,250150104
2024-11-18,139.49,141.54,137.141,140.14,221881280
2024-11-19,141.31,147.12,140.98,147.0,227850610
2024-11-20,147.4,147.55,142.72,145.88,309893005
2024-11-21,149.34,152.879,140.69,146.66,400974196
2024-11-22,145.92,147.15,141.09,141.94,236422443
2024-11-25,141.98,142.04,135.811,136.011,344965642
2024-11-26,137.691,139.29,135.661,136.911,190300765
2024-11-27,135.001,137.211,131.791,135.331,226386509
2024-11-29,136.771,139.34,136.041,138.24,141872930
2024-12-02,138.82,140.44,137.816,138.62,171694606
2024-12-03,138.25,140.53,137.94,140.25,164425293
2024-12-04,141.985,145.78,140.28,145.13,231240227
2024-12-05,145.11,146.54,143.95,145.06,172621180
2024-12-06,144.6,145.7,141.31,142.44,188505573
2024-12-09,138.97,139.95,137.13,138.81,189308625
2024-12-10,139.01,141.82,133.79,135.07,210020888
2024-12-11,137.36,140.17,135.21,139.31,184905192
2024-12-12,137.08,138.44,135.8,137.34,159211393
2024-12-13,138.94,139.6,132.54,134.25,231514881
2024-12-16,134.18,134.4,130.42,132.0,237951130
2024-12-17,129.09,131.59,126.86,130.39,259410263
2024-12-18,133.86,136.7,128.28,128.91,277444533
2024-12-19,131.76,134.03,129.55,130.68,209719210
2024-12-20,129.81,135.28,128.22,134.7,306528553
2024-12-23,136.28,139.79,135.12,139.67,176053506
2024-12-24,140.0,141.9,138.65,140.22,105156989
2024-12-26,139.7,140.85,137.73,139.93,116519090
2024-12-27,138.55,139.02,134.71,137.01,170582603
2024-12-30,134.83,140.27,134.02,137.49,167734700
2024-12-31,138.03,138.07,133.83,134.29,155659211
2025-01-02,136.0,138.88,134.63,138.31,198247166
2025-01-03,140.01,144.9,139.73,144.47,229322478
2025-01-06,148.59,152.156,147.82,149.43,265377359
2025-01-07,153.03,153.13,140.01,140.14,351782174
2025-01-08,142.58,143.95,137.56,140.11,227349948
2025-01-10,137.45,139.92,134.22,135.91,207602514
2025-01-13,129.99,133.49,129.51,133.23,204808914
2025-01-14,136.05,136.38,130.05,131.76,195590485
2025-01-15,133.65,136.45,131.29,136.24,185217338
2025-01-16,138.64,138.75,133.49,133.57,209235583
2025-01-17,136.69,138.5,135.464,137.71,201188760
2025-01-21,139.16,141.83,137.09,140.83,197748985
2025-01-22,144.66,147.79,143.67,147.07,237651395
2025-01-23,145.05,147.23,143.72,147.22,155915549
2025-01-24,148.37,148.97,141.88,142.62,234657635
2025-01-27,124.8,128.4,116.7,118.42,818830895
2025-01-28,121.81,129.0,116.25,128.99,579666350
2025-01-29,126.5,126.89,120.05,123.7,467120640
2025-01-30,123.1,125.0,118.1,124.65,392925469
2025-01-31,123.78,127.85,119.19,120.07,390372899
2025-02-03,114.75,118.57,113.01,116.66,371235677
2025-02-04,116.96,121.2,116.7,118.65,256550040
2025-02-05,121.76,125.0,120.76,124.83,263110629
2025-02-06,127.42,128.77,125.21,128.68,251483574
2025-02-07,129.22,130.37,125.0,129.84,228186298
2025-02-10,130.09,135.0,129.96,133.57,216989086
2025-02-11,132.58,134.48,131.02,132.8,178902379
2025-02-12,130.02,132.24,129.08,131.14,160278552
2025-02-13,131.555,136.5,131.17,135.29,197429975
2025-02-14,136.48,139.25,135.5,138.85,195479557
2025-02-18,141.27,143.44,137.925,139.4,219176627
2025-02-19,139.51,141.36,137.22,139.23,167536006
2025-02-20,140.03,140.66,136.79,140.11,143903583
2025-02-21,140.04,141.46,134.03,134.43,228217585
2025-02-24,136.56,138.59,130.08,130.28,251381137
2025-02-25,129.98,130.2,124.44,126.63,271428711
2025-02-26,129.985,133.73,128.49,131.28,322553814
2025-02-27,135.0,135.01,120.01,120.15,443175846
2025-02-28,118.02,125.09,116.4,124.92,389091145
2025-03-03,123.51,123.7,112.28,114.06,411381373
2025-03-04,110.645,119.31,110.11,115.99,398163305
2025-03-05,117.58,118.2781,114.51,117.3,284337886
2025-03-06,113.53,115.35,110.22,110.57,321181861
2025-03-07,111.25,113.48,107.56,112.69,341755468
2025-03-10,109.9,111.85,105.46,106.98,366487363
2025-03-11,106.99,112.236,104.77,108.76,354865692
2025-03-12,114.12,116.76,112.88,115.74,323857454
2025-03-13,117.03,117.76,113.79,115.58,299033131
2025-03-14,118.61,121.88,118.15,121.67,277593455
2025-03-17,122.74,122.89,118.03,119.53,255501481
